2023-10-20 13:22:48.199 [] INFO  [main] c.e.s.SimpleExpenseApplicationTests - Starting SimpleExpenseApplicationTests using Java 1.8.0_382 on akashssd-HP-Notebook with PID 126106 (started by akash-ssd in /home/akash-ssd/Documents/workspace/gitlab/expense-tracker/SimpleExpense)
2023-10-20 13:22:48.214 [] INFO  [main] c.e.s.SimpleExpenseApplicationTests - The following 1 profile is active: "dev"
2023-10-20 13:22:51.071 [] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 13:22:51.416 [] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 314 ms. Found 2 JPA repository interfaces.
2023-10-20 13:22:53.398 [] INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 13:22:53.578 [] INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.33
2023-10-20 13:22:54.041 [] INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-10-20 13:22:54.247 [] INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-10-20 13:22:54.695 [] INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-10-20 13:22:54.795 [] INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-10-20 13:22:56.470 [] INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 13:22:56.498 [] INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 13:22:58.448 [] WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-20 13:22:59.421 [] INFO  [main] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testexpense'
2023-10-20 13:23:01.359 [] INFO  [main] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-20 13:23:01.523 [] INFO  [main] c.e.s.SimpleExpenseApplicationTests - Started SimpleExpenseApplicationTests in 14.558 seconds (JVM running for 17.073)
2023-10-20 13:23:02.044 [] INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 13:23:02.054 [] INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-10-20 13:23:02.067 [] INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-10-20 22:53:24.618 [] INFO  [main] c.e.s.SimpleExpenseApplication - Starting SimpleExpenseApplication using Java 1.8.0_382 on akashssd-HP-Notebook with PID 5586 (/home/akash-ssd/Documents/workspace/gitlab/expense-tracker/SimpleExpense/target/classes started by akash-ssd in /home/akash-ssd/Documents/workspace/gitlab/expense-tracker/SimpleExpense)
2023-10-20 22:53:24.625 [] INFO  [main] c.e.s.SimpleExpenseApplication - The following 1 profile is active: "dev"
2023-10-20 22:53:28.374 [] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 22:53:28.995 [] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 462 ms. Found 2 JPA repository interfaces.
2023-10-20 22:53:31.830 [] INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-10-20 22:53:31.870 [] INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-10-20 22:53:31.871 [] INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-10-20 22:53:32.154 [] INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-10-20 22:53:32.154 [] INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7222 ms
2023-10-20 22:53:33.026 [] INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-10-20 22:53:34.774 [] INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-10-20 22:53:34.857 [] INFO  [main] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testexpense'
2023-10-20 22:53:36.578 [] INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 22:53:36.862 [] INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.33
2023-10-20 22:53:38.426 [] INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-10-20 22:53:39.444 [] INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-10-20 22:53:41.546 [] INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 22:53:41.568 [] INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 22:53:43.382 [] WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-20 22:53:47.283 [] INFO  [main] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-20 22:53:47.545 [] INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-10-20 22:53:47.644 [] INFO  [main] c.e.s.SimpleExpenseApplication - Started SimpleExpenseApplication in 24.433 seconds (JVM running for 26.661)
2023-10-20 22:53:49.276 [] INFO  [RMI TCP Connection(1)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-20 22:53:49.278 [] INFO  [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-10-20 22:53:49.338 [] INFO  [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet - Completed initialization in 31 ms
2023-10-20 22:54:28.520 [] INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 22:54:28.553 [] INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-10-20 22:54:28.591 [] INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
